id,title,original_title,language,overview,genres,keywords,cast,director,release_date,runtime,popularity,vote_average,vote_count,budget,revenue,production_companies,production_countries,spoken_languages,poster_path,tagline,adult
848116,Rocky Aur Rani Kii Prem Kahaani,रॉकी और रानी की प्रेम कहानी,hi,"Gym-freak brat Rocky falls in love with Rani, who comes from a well-educated Bengali family. Being from polar opposite worlds, the two decide to switch their families to adjust to each other's cultures and backgrounds and to know if their marriage will survive. Rocky and Rani are trapped in a world where they are united by love but divided by families and the ultimate question is will they fit in?","['Comedy', 'Drama', 'Family', 'Romance']","['musical', 'nostalgia', 'love interest', 'nostalgic', 'wealthy family']","['Alia Bhatt', 'Ranveer Singh', 'Jaya Bachchan', 'Shabana Azmi', 'Dharmendra', 'Aamir Bashir', 'Tota Roy Chowdhury', 'Churni Ganguly', 'Kshitee Jog', 'Anjali Anand']",Karan Johar,2023-07-28,179,73.546,6.068,81,0,0,"['Dharma Productions', 'Viacom18 Studios']",['India'],"['Bengali', 'Hindi', 'English']",/vTQIqlxUkOuyf2UKhlM2OUaFGKz.jpg,The power of family will decide the fate of love,False
1339876,Mardaani 3,मर्दानी 3,hi,"Officer Shivani Shivaji Roy returns to hunt down those behind the disappearance of young girls, risking everything to bring them back alive.","['Action', 'Crime', 'Thriller']",[],"['Rani Mukerji', 'Mallika Prasad', 'Janki Bodiwala', 'Jisshu Sengupta', 'Mikhail Yawalkar', 'Jaipreet Singh', 'Sachin Negi', 'Jimpa Sangpo Bhutia', 'Prajesh Kashyap', 'Indraneel Bhattacharya']",Abhiraj Minawala,2026-01-30,131,52.2975,7.26,25,0,0,['Yash Raj Films'],['India'],['Hindi'],/dHxLBtHw4InwsVumnthupZYz6NM.jpg,Rescue begins.,False
1582770,Dhurandhar: The Revenge,धुरंधर: द रिवेंज,hi,"As rival gangs, corrupt officials and a ruthless Major Iqbal close in, Hamza's mission for his country spirals into a bloody personal war where the line between patriot and monster disappears in the streets of Lyari.","['Action', 'Crime', 'Thriller']","['undercover', 'propaganda', 'espionage', 'politics', 'spy', 'traitor', 'patriotism', 'nationalism', 'gore', 'gang leader', 'pakistan', 'sequel', 'betrayal', 'conspiracy', 'torture', 'soldier', 'india', 'interrogation', 'terrorist attack', 'undercover operation', 'gun violence', 'bloodshed', 'political corruption', 'serious', 'weapons', 'intense', 'cruel', 'excited']","['Ranveer Singh', 'Arjun Rampal', 'R. Madhavan', 'Sanjay Dutt', 'Sara Arjun', 'Arjan Panwar', 'Rakesh Bedi', 'Gaurav Gera', 'Danish Iqbal', 'Ankit Sagar']",Aditya Dhar,2026-03-18,229,41.182,7.802,58,22500000,152229601,"['Jio Studios', 'B62 Studios']",['India'],['Hindi'],/ov8vrRLZGoXHpYjSY9Vpv1tHJX7.jpg,The Story of The Unknown Men Unfolds,False
19404,Dilwale Dulhania Le Jayenge,दिलवाले दुल्हनिया ले जायेंगे,hi,"Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga.","['Comedy', 'Drama', 'Romance']","[""family's daily life"", 'family history', 'love-hate relationship', 'family drama', 'love affair', 'curious', 'casual']","['Kajol', 'Shah Rukh Khan', 'Amrish Puri', 'Farida Jalal', 'Anupam Kher', 'Pooja Ruparel', 'Parmeet Sethi', 'Satish Shah', 'Mandira Bedi', 'Achala Sachdev']",Aditya Chopra,1995-10-20,190,13.1769,8.5,4572,13200000,100000000,['Yash Raj Films'],['India'],['Hindi'],/2CAL2433ZeIihfX1Hb2139CX0pW.jpg,"Come… Fall In love, All Over Again…",False
1595507,Vadh 2,वध 2,hi,"A police officer's pursuit of truth in a shocking prison crime intertwines with the lives of a widowed prison guard and a soon to be released inmate, unravelling a web of morality and redemption.","['Crime', 'Drama', 'Thriller']",[],"['Sanjay Mishra', 'Neena Gupta', 'Kumud Mishra', 'Amitt K. Singh', 'Shilpa Shukla', 'Akshay Dogra', 'Nadeem Khan', 'Yogita Bihani', 'Abhay Bhargava', 'Mehar Deol']",Jaspal Singh Sandhu,2026-02-06,131,6.7716,4.7,7,0,0,['LUV Films'],['India'],['Hindi'],/Aj1Q7QPpt1kTrbNBRENPh0rwEot.jpg,Truth Gets Closer,False
656908,Ramayana,रामायण,hi,"An ancient epic follows a young prince and princess whose marriage and subsequent exile mark the beginning of a legendary journey. Their story of love, duty and destiny sets the stage for greater challenges ahead.","['Drama', 'Fantasy', 'Action']","['god', 'hindu mythology']","['Ranbir Kapoor', 'Ravi Dubey', 'Sai Pallavi', 'Sunny Deol', 'Yash', 'Suhail Nayyar', 'Rakul Preet Singh', 'Sheeba Chaddha', 'Lara Dutta', 'Arun Govil']",Nitesh Tiwari,2026-11-08,0,6.8286,0.0,0,230000000,0,"['Monster Mind Creations', 'Prime Focus Studios']","['India', 'United Kingdom', 'United States of America']",['Hindi'],/f3yZZw7zIsWo6m9xJStfjDauIZX.jpg,Our truth. Our history.,False
297222,PK,पीके,hi,"A stranger in the city asks questions no one has asked before. Known only by his initials, the man's innocent questions and childlike curiosity take him on a journey of love, laughter and letting go.","['Comedy', 'Drama', 'Science Fiction']","['friendship', 'society', 'christianity', 'hinduism', 'islam', 'satire', 'alien', 'love', 'religion', 'sociology', 'belief in god', 'islamophobia', 'pakistan vs india', 'sikhism', 'jainism', 'religious satire']","['Aamir Khan', 'Anushka Sharma', 'Saurabh Shukla', 'Boman Irani', 'Sushant Singh Rajput', 'Sanjay Dutt', 'Parikshat Sahni', 'Reema Debnath', 'Rukhsar Rehman', 'Sachin Parikh']",Rajkumar Hirani,2014-12-18,153,7.6395,7.692,1143,13000000,118920000,"['Rajkumar Hirani Films', 'Vinod Chopra Films', 'UTV Motion Pictures']",['India'],['Hindi'],/z2x2Y4tncefsIU7h82gmUM5vnBJ.jpg,Peeke hai kya?,False
20453,3 Idiots,3 Idiots,hi,"Rascal. Joker. Dreamer. Genius... You've never met a college student quite like ""Rancho."" From the moment he arrives at India's most prestigious university, Rancho's outlandish schemes turn the campus upside down—along with the lives of his two newfound best friends. Together, they make life miserable for ""Virus,"" the school’s uptight and heartless dean. But when Rancho catches the eye of the dean's daughter, Virus sets his sights on flunking out the ""3 idiots"" once and for all.","['Drama', 'Comedy']","['challenge', 'middle class', 'slapstick comedy', 'coming of age', 'flashback', 'teacher', 'friends', 'engineering', 'university', 'subjective camera', 'smart kid', 'poor kid', 'looking for friend', 'plot twist', 'inspirational', 'student', 'life advice', 'amused', 'delhi']","['Aamir Khan', 'R. Madhavan', 'Sharman Joshi', 'Kareena Kapoor Khan', 'Boman Irani', 'Omi Vaidya', 'Mona Singh', 'Rahul Kumar', 'Parikshat Sahni', 'Farida Dadi']",Rajkumar Hirani,2009-12-23,171,6.9506,7.996,2676,9000000,70000000,"['Vidhu Vinod Chopra Productions', 'Vinod Chopra Films']",['India'],"['Hindi', 'English']",/66A9MqXOyVFCssoloscw79z8Tew.jpg,Aal Izz Well!,False
1282440,Happy Patel: Khatarnak Jasoos,हैप्पी पटेल: ख़तरनाक जासूस,hi,"Chronically unsuccessful MI7 operative Happy Patel is finally assigned a mission in Goa, where he uncovers his Indian roots and must rescue a high-profile scientist from crime lord Mama. Unaware of his Indian heritage and armed with a comically British accent, Happy’s blunders trigger a string of chaotic mishaps that could lead him to expose a criminal network.","['Comedy', 'Action', 'Romance']","['espionage', 'satire', 'hilarious', 'spy comedy']","['Vir Das', 'Mona Singh', 'Mithila Palkar', 'Sharib Hashmi', 'Srushti Tawade', 'Aamir Khan', 'Imran Khan', 'Andrew Sloman', 'Simon Fielder', 'Prajakta Kavalekar']",Vir Das,2026-01-16,122,6.624,7.45,10,0,0,['Aamir Khan Productions'],['India'],"['Marathi', 'Hindi', 'English']",/tZJBXGNyDanSne6a2TLRU45Uhwu.jpg,India is for beginners.,False
1190511,Sitaare Zameen Par,सितारे ज़मीन पर,hi,A disgraced basketball coach is given the chance to coach a team of players who are intellectually disabled as part of community services. Gulshan has apprehensions at first and feels out of place but soon realizes they just might have what it takes to make it to the national championships.,"['Comedy', 'Drama']","['basketball', 'remake', 'based on movie', 'intellectual disability', 'sports drama', 'family sports drama', 'sports comedy']","['Aamir Khan', ""Genelia D'Souza"", 'Dolly Ahluwalia', 'Brijendra Kala', 'Happy Ranajit', 'Deepraj Rana', 'Gopi Krishna Varma', 'Gurpal Singh', 'Aroush Datta', 'Samvit Desai']",R. S. Prasanna,2025-06-20,155,5.594,7.045,44,0,3532430,['Aamir Khan Productions'],['India'],['Hindi'],/adYjCJGSNiL7CIaDW3g0Bcg7r2Z.jpg,Sabka Apna Apna Normal.,False
