rank,predictor,importance
1,log_budget,0.4669538532899121
2,runtime,0.08336086596463609
3,keyword_count,0.08112660338853997
4,cast_size,0.07833702141829917
5,release_year,0.05461073921825834
6,genres,0.04667926042151257
7,tagline_length,0.04439861669734019
8,language,0.03769294803084482
9,overview_length,0.03234528518054437
10,primary_genre,0.020761075890248597
11,production_company_count,0.01918621367796099
12,release_month,0.018865767086253874
13,director,0.0091729926898131
14,spoken_language_count,0.006508757045835686
15,has_tagline,0.0
